client_id,day_of_week,open_time,close_time
2,0,09:30,14:00
2,0,16:00,20:00
2,1,09:30,14:00
2,1,16:00,20:00
2,2,09:30,14:00
2,2,16:00,20:00
2,3,09:30,14:00
2,3,16:00,20:00
2,4,09:30,14:00
2,4,16:00,20:00
2,5,09:30,14:00
3,0,09:00,13:00
3,0,15:00,20:00
3,1,09:00,13:00
3,1,15:00,20:00
3,2,09:00,13:00
3,2,15:00,20:00
3,3,09:00,13:00
3,3,15:00,20:00
3,4,09:00,13:00
3,4,15:00,20:00
3,5,09:00,13:00
4,1,09:00,18:00
4,2,09:00,18:00
4,3,09:00,18:00
4,4,09:00,18:00
4,5,09:00,14:00
5,0,10:00,14:00
5,0,16:00,19:00
5,1,10:00,14:00
5,1,16:00,19:00
5,2,10:00,14:00
5,2,16:00,19:00
5,3,10:00,14:00
5,3,16:00,19:00
5,4,10:00,14:00
5,4,16:00,19:00
5,5,10:00,14:00
5,5,16:00,19:00
6,6,13:30,16:00
6,5,13:30,16:00
7,6,00:00,00:00
8,6,09:00,14:00
8,0,09:00,21:00
8,1,09:00,21:00
8,2,09:00,21:00
8,3,09:00,21:00
8,4,09:00,21:00
8,5,09:00,21:00
9,0,10:30,14:00
9,0,17:00,20:30
9,1,10:30,14:00
9,1,17:00,20:30
9,2,10:30,14:00
9,2,17:00,20:30
9,3,10:30,14:00
9,3,17:00,20:30
9,4,10:30,14:00
9,4,17:00,20:30
9,5,11:00,14:00
10,0,09:00,14:30
10,0,17:30,20:30
10,1,09:00,14:30
10,1,17:30,20:30
10,2,09:00,14:30
10,2,17:30,20:30
10,3,09:00,14:30
10,3,17:30,20:30
10,4,09:00,15:00
10,4,17:30,20:30
10,5,09:00,15:00
11,1,09:30,13:30
11,1,17:20,20:00
11,2,09:30,13:30
11,2,17:00,20:00
11,3,09:30,13:30
11,3,17:00,20:00
11,4,09:30,13:30
11,4,17:00,20:00
11,5,09:30,13:30
12,0,10:00,13:30
12,0,17:00,19:30
12,1,10:00,13:30
12,1,17:00,19:30
12,2,10:00,13:30
12,2,17:00,19:30
12,3,10:00,13:30
12,3,17:00,19:30
12,4,10:00,13:30
12,4,17:00,19:30
12,5,10:00,13:30
13,0,11:00,14:00
13,0,17:00,20:00
13,1,11:00,14:00
13,1,17:00,20:00
13,2,11:00,14:00
13,2,17:00,20:00
13,3,11:00,14:00
13,3,17:00,20:00
13,4,11:00,14:00
13,4,17:00,20:00
13,5,11:00,14:00
14,0,09:30,14:00
14,0,17:00,20:15
14,1,09:30,14:00
14,1,17:00,20:15
14,2,09:30,14:00
14,2,17:00,20:15
14,3,09:30,14:00
14,3,17:00,20:15
14,4,09:30,14:00
14,4,17:00,20:15
14,5,09:30,14:00
15,0,09:00,14:30
15,1,09:00,14:30
15,2,09:00,14:30
15,3,09:00,14:30
15,4,09:00,14:30
15,5,09:00,14:30
16,6,06:30,21:15
16,0,06:30,21:15
16,1,06:30,21:15
16,2,06:30,21:15
16,3,06:30,21:15
16,4,06:30,21:15
16,5,06:30,21:15
17,0,09:00,20:30
17,1,09:00,20:30
17,2,09:00,20:30
17,3,09:00,20:30
17,4,09:00,20:30
17,5,09:00,20:30
19,6,11:00,14:00
19,1,10:00,14:00
19,1,17:30,20:00
19,2,10:00,14:00
19,2,17:30,20:00
19,3,10:00,14:00
19,3,17:30,20:00
19,4,10:00,14:00
19,4,17:30,20:00
19,5,10:00,14:00
19,5,17:30,20:00
20,0,09:00,14:00
20,0,16:30,20:00
20,1,09:00,14:00
20,1,16:30,20:00
20,2,09:00,14:00
20,2,16:30,20:00
20,3,09:00,14:00
20,3,16:30,20:00
20,4,09:00,14:00
20,4,16:30,20:00
20,5,09:30,13:30
21,0,10:00,13:30
21,0,16:00,20:00
21,1,10:00,13:30
21,1,16:00,20:00
21,2,10:00,13:30
21,2,16:00,20:00
21,3,10:00,13:30
21,3,16:00,20:00
21,4,10:00,13:30
21,4,16:00,20:00
21,5,10:00,13:30
21,5,16:00,20:00
22,0,09:00,14:00
22,0,16:00,19:00
22,1,09:00,14:00
22,1,16:00,19:00
22,2,09:00,14:00
22,2,16:00,19:00
22,3,09:00,14:00
22,3,16:00,19:00
22,4,09:00,14:00
22,4,16:00,19:00
22,5,09:00,14:00
23,0,09:30,13:30
23,0,16:00,20:00
23,1,09:30,13:30
23,1,16:00,20:00
23,2,09:30,13:30
23,2,16:00,20:00
23,3,09:30,13:30
23,3,16:00,20:00
23,4,09:30,13:30
23,4,16:00,20:00
23,5,09:30,14:00
24,0,10:00,14:00
24,0,16:00,20:00
24,1,10:00,14:00
24,1,16:00,20:00
24,2,10:00,14:00
24,2,16:00,20:00
24,3,10:00,14:00
24,3,16:00,20:00
24,4,10:00,14:00
24,4,16:00,20:00
24,5,10:00,14:00
25,6,10:00,14:00
25,6,17:00,21:00
25,0,10:00,14:00
25,0,17:00,21:00
25,1,10:00,14:00
25,1,17:00,21:00
25,2,10:00,14:00
25,2,17:00,21:00
25,3,10:00,14:00
25,3,17:00,21:00
25,4,10:00,14:00
25,4,17:00,21:00
25,5,10:00,14:00
25,5,17:00,21:00
26,0,09:00,13:30
26,0,15:30,20:00
26,1,09:00,13:30
26,1,15:30,20:00
26,2,09:00,13:30
26,2,15:30,20:00
26,3,09:00,13:30
26,3,15:30,20:00
26,4,09:00,13:30
26,4,15:30,20:00
26,5,09:00,14:00
27,6,08:00,14:00
27,0,08:00,14:00
27,1,08:00,14:00
27,1,16:30,20:30
27,2,08:00,14:00
27,2,16:30,20:30
27,3,08:00,14:00
27,3,16:30,20:30
27,4,08:00,20:30
27,5,08:00,14:00
28,0,10:00,14:00
28,0,17:00,20:00
28,1,10:00,14:00
28,1,17:00,20:00
28,2,10:00,14:00
28,2,17:00,20:00
28,3,10:00,14:00
28,3,17:00,20:00
28,4,10:00,14:00
28,4,17:00,20:00
28,5,10:00,14:00
29,0,10:00,13:30
29,0,17:30,20:00
29,1,10:00,13:30
29,1,17:30,20:00
29,2,10:00,13:30
29,2,17:30,20:00
29,3,10:00,13:30
29,3,17:30,20:00
29,4,10:00,13:30
29,4,17:30,20:00
29,5,10:00,14:00
30,6,09:30,16:00
30,0,09:30,16:00
30,2,09:30,16:00
30,3,09:30,16:00
30,4,09:30,16:00
30,5,09:30,16:00
31,0,09:00,13:30
31,0,16:00,20:00
31,1,09:00,13:30
31,1,16:00,20:00
31,2,09:00,13:30
31,2,16:00,20:00
31,3,09:00,13:30
31,3,16:00,20:00
31,4,09:00,13:30
31,4,16:00,20:00
31,5,09:00,13:30
33,6,10:00,14:00
33,0,10:00,13:30
33,0,17:30,20:30
33,1,10:00,13:30
33,1,17:30,20:30
33,2,10:00,13:30
33,2,17:30,20:30
33,3,10:00,13:30
33,3,17:30,20:30
33,4,10:00,13:30
33,4,17:30,20:30
33,5,10:00,14:00
34,0,10:00,19:00
34,1,10:00,19:00
34,2,10:00,19:00
34,4,10:00,19:00
36,6,10:00,00:00
36,0,10:15,00:00
36,1,10:15,00:00
36,2,10:15,00:00
36,3,10:15,00:00
36,4,10:15,00:00
36,5,10:00,00:00
37,0,09:30,14:00
37,0,16:00,20:00
37,1,09:30,14:00
37,1,16:00,20:00
37,2,09:30,14:00
37,2,16:00,20:00
37,3,09:30,14:00
37,3,16:00,20:00
37,4,09:30,14:00
37,4,16:00,20:00
37,5,09:30,14:00
37,5,16:00,20:00
39,0,10:00,14:00
39,0,17:00,20:00
39,1,10:00,14:00
39,1,17:00,20:00
39,2,10:00,14:00
39,2,17:00,20:00
39,3,10:00,14:00
39,3,17:00,20:00
39,4,10:00,14:00
39,4,17:00,20:00
39,5,10:00,17:30
41,0,08:00,15:00
41,0,16:00,19:30
41,1,08:00,15:00
41,1,16:00,19:30
41,2,08:00,15:00
41,2,16:00,19:30
41,3,08:00,15:00
41,3,16:00,19:30
41,4,08:00,15:00
42,0,09:00,14:00
42,0,16:00,20:00
42,1,09:00,14:00
42,1,16:00,20:00
42,2,09:00,14:00
42,2,16:00,20:00
42,3,09:00,14:00
42,3,16:00,20:00
42,4,09:00,14:00
42,4,16:00,20:00
42,5,09:00,14:00
43,0,08:00,15:00
43,1,08:00,15:00
43,2,08:00,15:00
43,3,08:00,15:00
43,4,08:00,15:00
44,0,09:30,13:30
44,0,16:30,20:30
44,1,09:30,13:30
44,1,16:30,20:30
44,2,09:30,13:30
44,2,16:30,20:30
44,3,09:30,13:30
44,3,16:30,20:30
44,4,09:30,13:30
44,4,16:30,20:30
44,5,09:30,14:00
45,0,09:30,13:30
45,0,16:30,20:30
45,1,09:30,13:30
45,1,16:30,20:30
45,2,09:30,13:30
45,2,16:30,20:30
45,3,09:30,13:30
45,3,16:30,20:30
45,4,09:30,13:30
45,4,16:30,20:30
45,5,09:30,14:00
46,6,09:00,18:00
46,0,08:30,19:30
46,1,08:30,19:30
46,2,08:30,19:30
46,3,08:30,19:30
46,4,08:30,19:30
46,5,08:30,19:30
47,0,09:30,14:30
47,1,09:30,14:30
47,2,09:30,14:30
47,3,09:30,14:30
47,4,09:30,14:30
47,5,09:30,14:00
48,0,09:00,13:30
48,0,16:00,20:15
48,1,09:00,13:30
48,1,16:00,20:15
48,2,09:00,13:30
48,2,16:00,20:15
48,3,09:00,13:30
48,3,16:00,20:15
48,4,09:00,13:30
48,4,16:00,20:15
48,5,09:00,13:30
49,0,09:00,13:30
49,0,16:00,20:15
49,1,09:00,13:30
49,1,16:00,20:15
49,2,09:00,13:30
49,2,16:00,20:15
49,3,09:00,13:30
49,3,16:00,20:15
49,4,09:00,13:30
49,4,16:00,20:15
49,5,09:00,13:30
50,0,09:00,20:00
50,1,09:00,20:00
50,2,09:00,20:00
50,3,09:00,20:00
50,4,09:00,20:00
50,5,09:00,01:30
51,0,09:00,13:30
51,0,16:00,20:00
51,1,09:00,13:30
51,1,16:00,20:00
51,2,09:00,13:30
51,2,16:00,20:00
51,3,09:00,14:00
51,3,15:30,20:00
51,4,09:00,13:30
51,4,16:00,20:00
51,5,09:00,14:00
53,0,09:30,08:30
53,1,09:30,08:30
53,2,09:30,08:30
53,3,09:30,08:30
53,4,09:30,08:30
53,5,09:30,08:30
55,6,09:30,13:30
55,0,09:00,13:30
55,0,16:00,20:00
55,1,09:00,13:30
55,1,16:00,20:00
55,2,09:00,13:30
55,2,16:00,20:00
55,3,09:00,13:30
55,3,16:00,20:00
55,4,09:00,13:30
55,4,16:00,20:00
55,5,09:30,13:30
56,0,09:00,14:30
56,0,16:00,20:30
56,1,09:00,14:30
56,1,16:00,20:30
56,2,09:00,14:30
56,2,16:00,20:30
56,3,09:00,14:30
56,3,16:00,20:30
56,4,09:00,14:30
56,4,16:00,20:30
56,5,09:00,14:30
56,5,16:00,20:30
57,6,09:30,13:30
57,0,09:00,13:30
57,0,16:00,20:00
57,1,09:00,13:30
57,1,16:00,20:00
57,2,09:00,13:30
57,2,16:00,20:00
57,3,09:00,13:30
57,3,16:00,20:00
57,4,09:00,13:30
57,4,16:00,20:00
57,5,09:30,13:30
58,0,09:30,13:30
58,0,16:00,20:00
58,1,09:30,13:30
58,1,16:00,20:00
58,2,09:30,13:30
58,2,16:00,20:00
58,3,09:30,13:30
58,3,16:00,20:00
58,4,09:30,13:30
58,4,16:00,20:00
58,5,09:30,13:30
59,0,09:00,13:30
59,0,16:00,20:00
59,1,09:00,13:30
59,1,16:00,20:00
59,2,09:00,13:30
59,2,16:00,20:00
59,3,09:00,13:30
59,3,16:00,20:00
59,4,09:00,13:30
59,4,16:00,20:00
59,5,09:00,14:00
60,0,09:00,13:00
60,0,16:00,20:00
60,1,09:00,13:00
60,1,16:00,20:00
60,2,09:00,13:00
60,2,16:00,20:00
60,3,09:00,13:00
60,3,16:00,20:00
60,4,09:00,13:00
60,4,16:00,20:00
60,5,09:00,13:00
61,0,10:00,14:30
61,0,17:00,20:30
61,1,10:00,14:30
